comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
startup_aa,startup,5,BAAB,0,B,lazy_b,0,2040029,,ok,
startup_aa,startup,5,BAAB,1,A,lazy,0,2052103,,ok,
startup_aa,startup,5,BAAB,2,A,lazy,0,2057734,,ok,
startup_aa,startup,5,BAAB,3,B,lazy_b,0,2036033,,ok,
startup_aa,startup,6,ABBA,0,A,lazy,0,2086852,,ok,
startup_aa,startup,6,ABBA,1,B,lazy_b,0,2034304,,ok,
startup_aa,startup,6,ABBA,2,B,lazy_b,0,2055949,,ok,
startup_aa,startup,6,ABBA,3,A,lazy,0,2021461,,ok,
startup_aa,startup,7,BAAB,0,B,lazy_b,0,2015657,,ok,
startup_aa,startup,7,BAAB,1,A,lazy,0,2042092,,ok,
startup_aa,startup,7,BAAB,2,A,lazy,0,2765105,,ok,
startup_aa,startup,7,BAAB,3,B,lazy_b,0,2070535,,ok,
startup_aa,startup,8,ABBA,0,A,lazy,0,2138318,,ok,
startup_aa,startup,8,ABBA,1,B,lazy_b,0,2090371,,ok,
startup_aa,startup,8,ABBA,2,B,lazy_b,0,2025742,,ok,
startup_aa,startup,8,ABBA,3,A,lazy,0,2017439,,ok,
startup_aa,startup,9,BAAB,0,B,lazy_b,0,2008603,,ok,
startup_aa,startup,9,BAAB,1,A,lazy,0,2019740,,ok,
startup_aa,startup,9,BAAB,2,A,lazy,0,2041022,,ok,
startup_aa,startup,9,BAAB,3,B,lazy_b,0,2129138,,ok,
startup_aa,startup,10,ABBA,0,A,lazy,0,2044724,,ok,
startup_aa,startup,10,ABBA,1,B,lazy_b,0,2044937,,ok,
startup_aa,startup,10,ABBA,2,B,lazy_b,0,2028980,,ok,
startup_aa,startup,10,ABBA,3,A,lazy,0,2903130,,ok,
startup_aa,startup,11,BAAB,0,B,lazy_b,0,2049518,,ok,
startup_aa,startup,11,BAAB,1,A,lazy,0,2092337,,ok,
startup_aa,startup,11,BAAB,2,A,lazy,0,2125366,,ok,
startup_aa,startup,11,BAAB,3,B,lazy_b,0,2107849,,ok,
