blocks,geometric_mean_ratio,log_ratio_sd,t95_low_ratio,t95_high_ratio,min_block_ratio,max_block_ratio,comparison,outcome,ratio,numerator,denominator,processes,iterations
12,1.1534071742595449,0.017779985279893037,1.1404506136190429,1.166510933263243,1.1116403455419008,1.1861878383035458,startup_eager_over_lazy,startup,B/A,same_image_eager,lazy,48,0
12,0.9880107051616352,0.09270155063226077,0.9314977568344818,1.047952232146327,0.8360423174389183,1.2218641421612793,startup_aa,startup,B/A,lazy_b,lazy,48,0
12,0.11777025875903911,0.03087321386990514,0.11548259941424666,0.12010323562616274,0.11284132401397252,0.12763963566313372,first_use_eager_over_lazy,first_use,B/A,same_image_eager,lazy,48,0
12,1.0315301703412676,0.13022581530671504,0.9496153914793642,1.1205110004236984,0.9604021387443842,1.5503123732064283,first_use_aa,first_use,B/A,lazy_b,lazy,48,0
12,0.5378514345060562,0.13814846475417195,0.4926539681866572,0.5871954440253656,0.4991702756251923,0.7073942474052717,steady_eager_over_lazy,steady,B/A,same_image_eager,lazy,48,25000000
12,1.0869687072003267,0.25421774935165786,0.9248447247734604,1.2775127962395598,0.7068558010322901,1.9328020885112513,steady_aa,steady,B/A,lazy_b,lazy,48,25000000
