comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
store_seqcst_release,4,3,store_release,50000000,4905,1000000,156344,7828609,0.156572180,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,4,0,fetch_add_relaxed,10000000,5265,1000000,5677573,56787210,5.678721000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,4,1,fetch_add_seqcst,10000000,3155,1000000,5693184,56955018,5.695501800,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,4,2,fetch_add_seqcst,10000000,3080,1000000,5681631,56902776,5.690277600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,4,3,fetch_add_relaxed,10000000,3105,1000000,5766790,56775525,5.677552500,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,4,0,store_relaxed,50000000,3274,1000000,156358,7819863,0.156397260,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,4,1,store_relaxed,50000000,3020,1000000,156340,7824466,0.156489320,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,5,0,store_release,50000000,2996,1000000,164609,7815643,0.156312860,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,5,1,store_relaxed,50000000,2948,1000000,156469,7824539,0.156490780,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,5,2,store_relaxed,50000000,3194,1000000,156366,7824573,0.156491460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,5,3,store_release,50000000,3078,1000000,156345,7822640,0.156452800,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,5,0,store_seqcst,50000000,3100,1000000,5323591,266388451,5.327769020,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,5,1,store_release,50000000,3146,1000000,156345,7840518,0.156810360,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,5,2,store_release,50000000,3451,1000000,156351,7841609,0.156832180,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,5,3,store_seqcst,50000000,3105,1000000,5319822,266362806,5.327256120,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,5,0,fetch_add_seqcst,10000000,3042,1000000,5702934,56953467,5.695346700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,5,1,fetch_add_relaxed,10000000,3125,1000000,5678525,56799571,5.679957100,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,5,2,fetch_add_relaxed,10000000,4750,1000000,5690441,56803036,5.680303600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,5,3,fetch_add_seqcst,10000000,3015,1000000,5678985,56843727,5.684372700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,5,0,store_relaxed,50000000,3050,1000000,156346,7837163,0.156743260,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,5,1,store_relaxed,50000000,5041,1000000,156350,7867127,0.157342540,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,6,0,store_relaxed,50000000,2908,1000000,156347,7842008,0.156840160,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,6,1,store_release,50000000,2975,1000000,156355,7841623,0.156832460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,6,2,store_release,50000000,3085,1000000,156344,7837472,0.156749440,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,6,3,store_relaxed,50000000,4865,1000000,156385,7839874,0.156797480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,6,0,store_release,50000000,3271,1000000,156397,7845421,0.156908420,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,6,1,store_seqcst,50000000,4783,1000000,5339867,266358566,5.327171320,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,6,2,store_seqcst,50000000,3330,1000000,5321042,266268067,5.325361340,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,6,3,store_release,50000000,2978,1000000,156344,7837975,0.156759500,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,6,0,fetch_add_relaxed,10000000,2994,1000000,5676741,56788100,5.678810000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,6,1,fetch_add_seqcst,10000000,3103,1000000,5719546,56875071,5.687507100,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
