comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
startup_aa,startup,5,BAAB,0,B,lazy_b,0,1653557,,ok,
startup_aa,startup,5,BAAB,1,A,lazy,0,1615227,,ok,
startup_aa,startup,5,BAAB,2,A,lazy,0,1648517,,ok,
startup_aa,startup,5,BAAB,3,B,lazy_b,0,1654097,,ok,
startup_aa,startup,6,ABBA,0,A,lazy,0,1626127,,ok,
startup_aa,startup,6,ABBA,1,B,lazy_b,0,1616327,,ok,
startup_aa,startup,6,ABBA,2,B,lazy_b,0,1697077,,ok,
startup_aa,startup,6,ABBA,3,A,lazy,0,1608806,,ok,
startup_aa,startup,7,BAAB,0,B,lazy_b,0,1617947,,ok,
startup_aa,startup,7,BAAB,1,A,lazy,0,1616717,,ok,
startup_aa,startup,7,BAAB,2,A,lazy,0,1617926,,ok,
startup_aa,startup,7,BAAB,3,B,lazy_b,0,1632157,,ok,
startup_aa,startup,8,ABBA,0,A,lazy,0,1613527,,ok,
startup_aa,startup,8,ABBA,1,B,lazy_b,0,1632006,,ok,
startup_aa,startup,8,ABBA,2,B,lazy_b,0,1613487,,ok,
startup_aa,startup,8,ABBA,3,A,lazy,0,1627226,,ok,
startup_aa,startup,9,BAAB,0,B,lazy_b,0,1621617,,ok,
startup_aa,startup,9,BAAB,1,A,lazy,0,1660717,,ok,
startup_aa,startup,9,BAAB,2,A,lazy,0,1624407,,ok,
startup_aa,startup,9,BAAB,3,B,lazy_b,0,1632447,,ok,
startup_aa,startup,10,ABBA,0,A,lazy,0,1617486,,ok,
startup_aa,startup,10,ABBA,1,B,lazy_b,0,1623527,,ok,
startup_aa,startup,10,ABBA,2,B,lazy_b,0,1636027,,ok,
startup_aa,startup,10,ABBA,3,A,lazy,0,1614577,,ok,
startup_aa,startup,11,BAAB,0,B,lazy_b,0,1608747,,ok,
startup_aa,startup,11,BAAB,1,A,lazy,0,1610636,,ok,
startup_aa,startup,11,BAAB,2,A,lazy,0,1610607,,ok,
startup_aa,startup,11,BAAB,3,B,lazy_b,0,1626577,,ok,
first_use_eager_over_lazy,first_use,0,ABBA,0,A,lazy,0,1038630,8419328,ok,
first_use_eager_over_lazy,first_use,0,ABBA,1,B,same_image_eager,1,70960,8419328,ok,
first_use_eager_over_lazy,first_use,0,ABBA,2,B,same_image_eager,1,72850,8419328,ok,
first_use_eager_over_lazy,first_use,0,ABBA,3,A,lazy,0,900910,8419328,ok,
