metric,unit,n,mean,sd,median,q1,q3,iqr,min,max
position_1_elapsed,ns,24,1128383.708333,13969.960270,1126305.000000,1120557.250000,1128229.500000,7672.250000,1113751.000000,1176340.000000
position_2_elapsed,ns,24,1137019.541667,13958.268175,1134935.000000,1129028.500000,1140384.000000,11355.500000,1119295.000000,1182871.000000
position_first_over_second,ratio,24,0.992445,0.009282,0.992286,0.987480,0.996888,0.009408,0.974540,1.014522
fixed_AB_label_A_over_B,ratio,12,0.993584,0.009125,0.993444,0.989788,0.999396,0.009608,0.974540,1.006211
fixed_BA_label_A_over_B,ratio,12,1.008857,0.009778,1.009642,1.005644,1.015109,0.009465,0.985686,1.020197
order_cancelled_label_A_over_B,ratio,12,1.001182,0.008325,1.000955,0.995425,1.008619,0.013194,0.989042,1.012484
