comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
store_release_relaxed,9,3,store_release,50000000,4617,1000000,201881,9689795,0.193795900,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,9,0,store_seqcst,50000000,4797,1000000,193420,9685863,0.193717260,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,9,1,store_release,50000000,4687,1000000,193358,9686104,0.193722080,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,9,2,store_release,50000000,4744,1000000,193360,9691262,0.193825240,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,9,3,store_seqcst,50000000,4871,1000000,194972,9693000,0.193860000,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,9,0,fetch_add_seqcst,10000000,4881,1000000,5051504,50626059,5.062605900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,9,1,fetch_add_relaxed,10000000,4668,1000000,5047194,50560539,5.056053900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,9,2,fetch_add_relaxed,10000000,4749,1000000,5045560,50534010,5.053401000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,9,3,fetch_add_seqcst,10000000,4697,1000000,5109641,50512114,5.051211400,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,9,0,store_relaxed,50000000,5074,1000000,193234,9723745,0.194474900,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,9,1,store_relaxed,50000000,4588,1000000,193173,9678034,0.193560680,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,10,0,store_relaxed,50000000,4929,1000000,193199,9729853,0.194597060,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,10,1,store_release,50000000,4739,1000000,193365,9692581,0.193851620,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,10,2,store_release,50000000,4676,1000000,193362,9687700,0.193754000,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
