comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
store_release_relaxed,2,2,store_release,50000000,4866,1000000,193406,9696239,0.193924780,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,2,3,store_relaxed,50000000,4873,1000000,193205,9686041,0.193720820,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,2,0,store_release,50000000,5174,1000000,193413,9694424,0.193888480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,2,1,store_seqcst,50000000,4850,1000000,193527,9793670,0.195873400,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,2,2,store_seqcst,50000000,4785,1000000,201920,9686805,0.193736100,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,2,3,store_release,50000000,5261,1000000,193404,9691948,0.193838960,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,2,0,fetch_add_relaxed,10000000,4716,1000000,5052130,50576293,5.057629300,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,2,1,fetch_add_seqcst,10000000,4443,1000000,5046660,50712263,5.071226300,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,2,2,fetch_add_seqcst,10000000,4843,1000000,5058403,50512998,5.051299800,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,2,3,fetch_add_relaxed,10000000,4745,1000000,5046970,50518757,5.051875700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,2,0,store_relaxed,50000000,4650,1000000,193207,9680153,0.193603060,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,2,1,store_relaxed,50000000,4852,1000000,193207,9680763,0.193615260,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,3,0,store_release,50000000,4660,1000000,193372,9734209,0.194684180,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,3,1,store_relaxed,50000000,4601,1000000,193171,9719401,0.194388020,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,3,2,store_relaxed,50000000,4662,1000000,193172,9680307,0.193606140,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,3,3,store_release,50000000,4495,1000000,193384,9741012,0.194820240,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,3,0,store_seqcst,50000000,4707,1000000,193385,9697890,0.193957800,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,3,1,store_release,50000000,4821,1000000,193377,9689813,0.193796260,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,3,2,store_release,50000000,4647,1000000,193361,9687845,0.193756900,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,3,3,store_seqcst,50000000,4729,1000000,198317,9781723,0.195634460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,3,0,fetch_add_seqcst,10000000,4763,1000000,5065920,50569169,5.056916900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,3,1,fetch_add_relaxed,10000000,4598,1000000,5046938,50669109,5.066910900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,3,2,fetch_add_relaxed,10000000,4706,1000000,5045609,50470890,5.047089000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,3,3,fetch_add_seqcst,10000000,5021,1000000,5046427,50468257,5.046825700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,3,0,store_relaxed,50000000,4686,1000000,207355,9664600,0.193292000,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,3,1,store_relaxed,50000000,4889,1000000,193172,9685121,0.193702420,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,4,0,store_relaxed,50000000,4799,1000000,193212,9747639,0.194952780,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,4,1,store_release,50000000,4800,1000000,193362,9693665,0.193873300,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,4,2,store_release,50000000,4767,1000000,193390,9686832,0.193736640,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,4,3,store_relaxed,50000000,4822,1000000,193183,9682796,0.193655920,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,4,0,store_release,50000000,4857,1000000,193381,9714004,0.194280080,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,4,1,store_seqcst,50000000,4553,1000000,193377,9696709,0.193934180,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,4,2,store_seqcst,50000000,4654,1000000,193419,9692205,0.193844100,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,4,3,store_release,50000000,4618,1000000,203003,9684233,0.193684660,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,4,0,fetch_add_relaxed,10000000,4474,1000000,5060576,50818035,5.081803500,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,4,1,fetch_add_seqcst,10000000,4866,1000000,5067029,50559432,5.055943200,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,4,2,fetch_add_seqcst,10000000,4457,1000000,5045797,50470432,5.047043200,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,4,3,fetch_add_relaxed,10000000,4560,1000000,5044423,50472905,5.047290500,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,4,0,store_relaxed,50000000,4503,1000000,193183,9680974,0.193619480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,4,1,store_relaxed,50000000,4644,1000000,193227,9683541,0.193670820,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,5,0,store_release,50000000,4587,1000000,193373,9689823,0.193796460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,5,1,store_relaxed,50000000,4745,1000000,193203,9678505,0.193570100,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,5,2,store_relaxed,50000000,4772,1000000,193179,9676311,0.193526220,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,5,3,store_release,50000000,4904,1000000,193388,9693797,0.193875940,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,5,0,store_seqcst,50000000,4781,1000000,198387,9689466,0.193789320,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,5,1,store_release,50000000,4753,1000000,201832,9682837,0.193656740,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,5,2,store_release,50000000,4700,1000000,193366,9688908,0.193778160,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,5,3,store_seqcst,50000000,4797,1000000,193409,9689449,0.193788980,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,5,0,fetch_add_seqcst,10000000,4887,1000000,5063943,50619929,5.061992900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
