family,block,template,direction,log_contrast,ratio
ab,1,BAAB,0,0.43301740162634417,1.5419030520879482
ab,2,ABBA,0,0.4400634034014388,1.5528056685514289
ab,3,BAAB,0,0.46525064752924905,1.5924132733227496
ab,4,ABBA,0,0.4294819090804758,1.5364612906626849
ab,5,BAAB,0,0.4880374915701786,1.6291159269417355
ab,6,ABBA,0,0.42932538883618676,1.5362208221857132
ab,7,ABBA,0,0.43810721505637673,1.5497710573037449
ab,8,BAAB,0,0.4393717644401427,1.5517320589696435
ab,9,ABBA,1,0.4366026232558191,1.5474410377818755
ab,10,BAAB,1,0.4614540877171649,1.5863790429912572
ab,11,BAAB,1,0.4407361188238639,1.5538506163095216
ab,12,ABBA,1,0.4136705021201976,1.5123587257842044
ab,13,BAAB,1,0.4374101459362585,1.548691136190004
ab,14,ABBA,1,0.4391777515373718,1.5514310321310496
ab,15,BAAB,1,0.4474210100742759,1.5642727352530614
ab,16,ABBA,1,0.4503973491262627,1.5689354767907067
aa,1,ABBA,0,-0.02085897636093037,0.9793570673289371
aa,2,BAAB,0,0.004693187063963933,1.0047042173152994
aa,3,ABBA,0,0.017015670602763322,1.017161261730429
aa,4,BAAB,0,0.005040851539064306,1.0050535780062753
aa,5,BAAB,1,-0.0003244910272854895,0.9996755616142339
aa,6,ABBA,1,0.013636901702383852,1.0137303083559064
aa,7,ABBA,1,-0.017426548607868853,0.9827244154905854
aa,8,BAAB,1,-0.013344905670948037,0.9867437428093926
